data;estado;casos;mortes
2020-03-17;AC;     3;    0
2020-03-18;AC;     3;    0
2020-03-19;AC;     4;    0
2020-03-20;AC;     7;    0
2020-03-21;AC;    11;    0
2020-03-22;AC;    11;    0
2020-03-23;AC;    17;    0
2020-03-24;AC;    21;    0
2020-03-25;AC;    23;    0
2020-03-26;AC;    23;    0
2020-03-27;AC;    25;    0
2020-03-28;AC;    25;    0
2020-03-29;AC;    34;    0
2020-03-30;AC;    41;    0
2020-03-31;AC;    42;    0
2020-04-01;AC;    43;    0
2020-04-02;AC;    45;    0
2020-04-03;AC;    46;    0
2020-04-04;AC;    46;    0
2020-04-05;AC;    48;    0
2020-04-06;AC;    50;    1
2020-04-07;AC;    50;    2
2020-04-08;AC;    58;    2
2020-04-09;AC;    62;    2
2020-04-10;AC;    70;    2
2020-04-11;AC;    72;    2
2020-04-12;AC;    77;    2
2020-04-13;AC;    90;    3
2020-04-14;AC;    99;    3
2020-04-15;AC;   101;    4
2020-04-16;AC;   115;    5
2020-04-17;AC;   135;    5
2020-04-18;AC;   142;    6
2020-04-19;AC;   163;    6
2020-04-20;AC;   176;    8
2020-04-21;AC;   195;    8
2020-04-22;AC;   214;    8
2020-04-23;AC;   227;   10
2020-04-24;AC;   234;   11
2020-04-25;AC;   258;   11
2020-04-26;AC;   279;   11
2020-04-27;AC;   301;   14
2020-04-28;AC;   317;   16
2020-04-29;AC;   354;   18
2020-04-30;AC;   404;   19
2020-05-01;AC;   487;   19
2020-05-02;AC;   553;   22
2020-05-03;AC;   658;   25
2020-05-04;AC;   733;   28
2020-05-05;AC;   817;   29
2020-05-06;AC;   943;   35
2020-05-07;AC;  1014;   36
2020-05-08;AC;  1177;   38
2020-05-09;AC;  1335;   40
2020-05-10;AC;  1447;   41
2020-05-11;AC;  1460;   44
2020-05-12;AC;  1590;   51
2020-05-13;AC;  1694;   52
2020-05-14;AC;  1740;   55
2020-05-15;AC;  1785;   57
2020-05-16;AC;  1867;   59
2020-05-17;AC;  1996;   62
2020-05-18;AC;  2234;   67
2020-05-19;AC;  2482;   73
2020-05-20;AC;  2817;   75
2020-05-21;AC;  3103;   78
2020-05-22;AC;  3343;   80
2020-05-23;AC;  3867;   87
2020-05-24;AC;  4160;   92
2020-05-25;AC;  4501;   97
2020-05-26;AC;  4781;  105
2020-05-27;AC;  5251;  113
2020-05-28;AC;  5600;  122
2020-05-29;AC;  5841;  135
2020-05-30;AC;  6072;  142
2020-05-31;AC;  6219;  148
2020-06-01;AC;  6326;  161
2020-06-02;AC;  6465;  165
2020-06-03;AC;  6679;  171
2020-06-04;AC;  7021;  181
2020-06-05;AC;  7284;  190
2020-06-06;AC;  7525;  201
2020-06-07;AC;  7983;  207
2020-06-08;AC;  8127;  211
2020-06-09;AC;  8457;  223
2020-06-10;AC;  8746;  237
2020-06-11;AC;  9091;  245
2020-06-12;AC;  9295;  254
2020-06-13;AC;  9534;  256
2020-06-14;AC;  9642;  259
2020-06-15;AC;  9771;  265
2020-06-16;AC; 10003;  271
2020-06-17;AC; 10339;  281
2020-06-18;AC; 10664;  287
2020-06-19;AC; 10987;  292
2020-06-20;AC; 11263;  297
2020-06-21;AC; 11381;  300
2020-06-22;AC; 11539;  305
2020-06-23;AC; 11810;  321
2020-06-24;AC; 12022;  326
2020-06-25;AC; 12304;  335
2020-06-26;AC; 12644;  343
2020-06-27;AC; 12913;  351
2020-06-28;AC; 13058;  353
2020-06-29;AC; 13146;  361
2020-06-30;AC; 13253;  365
2020-07-01;AC; 13715;  370
2020-07-02;AC; 14048;  378
2020-07-03;AC; 14112;  387
2020-07-04;AC; 14487;  391
2020-07-05;AC; 14622;  391
2020-07-06;AC; 14688;  394
2020-07-07;AC; 14941;  399
2020-07-08;AC; 15167;  404
2020-07-09;AC; 15465;  411
2020-07-10;AC; 15768;  417
2020-07-11;AC; 16080;  419
2020-07-12;AC; 16190;  426
2020-07-13;AC; 16260;  430
2020-07-14;AC; 16479;  436
2020-07-15;AC; 16672;  446
2020-07-16;AC; 16865;  447
2020-07-17;AC; 16965;  452
2020-07-18;AC; 17202;  457
2020-07-19;AC; 17295;  460
2020-07-20;AC; 17462;  465
2020-07-21;AC; 17700;  469
2020-07-22;AC; 17979;  470
2020-07-23;AC; 18157;  474
2020-07-24;AC; 18393;  480
2020-07-25;AC; 18657;  483
2020-07-26;AC; 18745;  486
2020-07-27;AC; 18783;  493
2020-03-08;AL;     1;    0
2020-03-09;AL;     1;    0
2020-03-10;AL;     1;    0
2020-03-12;AL;     1;    0
2020-03-13;AL;     1;    0
2020-03-16;AL;     1;    0
2020-03-17;AL;     1;    0
2020-03-18;AL;     1;    0
2020-03-19;AL;     4;    0
2020-03-20;AL;     6;    0
2020-03-21;AL;     7;    0
2020-03-22;AL;     7;    0
2020-03-23;AL;     8;    0
2020-03-24;AL;    10;    0
2020-03-25;AL;    11;    0
2020-03-26;AL;    11;    0
2020-03-27;AL;    12;    0
2020-03-28;AL;    14;    0
2020-03-29;AL;    17;    0
2020-03-30;AL;    17;    0
2020-03-31;AL;    18;    1
2020-04-01;AL;    18;    1
2020-04-02;AL;    18;    1
2020-04-03;AL;    23;    2
2020-04-04;AL;    23;    2
2020-04-05;AL;    28;    2
2020-04-06;AL;    31;    2
2020-04-07;AL;    34;    2
2020-04-08;AL;    37;    3
2020-04-09;AL;    37;    3
2020-04-10;AL;    45;    3
2020-04-11;AL;    48;    3
2020-04-12;AL;    48;    3
2020-04-13;AL;    58;    4
2020-04-14;AL;    72;    4
2020-04-15;AL;    83;    5
2020-04-16;AL;    89;    5
2020-04-17;AL;   110;    7
2020-04-18;AL;   132;   10
2020-04-19;AL;   159;   15
2020-04-20;AL;   171;   18
2020-04-21;AL;   210;   19
2020-04-22;AL;   243;   20
2020-04-23;AL;   324;   22
2020-04-24;AL;   413;   27
2020-04-25;AL;   501;   29
2020-04-26;AL;   560;   32
2020-04-27;AL;   643;   34
2020-04-28;AL;   777;   36
2020-04-29;AL;   957;   41
2020-04-30;AL;  1045;   47
2020-05-01;AL;  1226;   53
2020-05-02;AL;  1371;   58
2020-05-03;AL;  1441;   64
2020-05-04;AL;  1538;   72
2020-05-05;AL;  1605;   80
2020-05-06;AL;  1703;   89
2020-05-07;AL;  1867;   98
2020-05-08;AL;  2033;  108
2020-05-09;AL;  2170;  114
2020-05-10;AL;  2258;  126
2020-05-11;AL;  2343;  138
2020-05-12;AL;  2580;  150
2020-05-13;AL;  2761;  164
2020-05-14;AL;  2972;  177
